store_id,city,region,cluster,cluster_persona,lacking_sku,category,brand,sku_segment,price,margin_pct,current_revenue,cluster_avg_revenue,gap_percentage,potential_revenue_gain,severity,recommended_action,reason
S0110,Patna,East,A,High Footfall + Urban + High Income,SKU00107,Snacks,FizMax,Premium,119.44,47.97,358.32,342.08,4.75,-16.24,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 4.7% below average
S0040,Chennai,South,A,High Footfall + Urban + High Income,SKU00026,Staples,CoolSip,Premium,114.59,44.72,572.95,332.31,72.41,-240.64,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 72.4% below average
S0110,Patna,East,A,High Footfall + Urban + High Income,SKU00174,Staples,FizMax,Premium,119.68,15.71,598.4,339.09,76.47,-259.31,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 76.5% below average
S0031,Pune,West,A,High Footfall + Urban + High Income,SKU00159,Frozen,BakeWell,Premium,116.41,43.6,582.05,320.62,81.54,-261.43,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 81.5% below average
S0040,Chennai,South,A,High Footfall + Urban + High Income,SKU00233,Essentials,ChillFrost,Premium,106.48,16.96,745.36,308.91,141.29,-436.45,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 141.3% below average
S0110,Patna,East,A,High Footfall + Urban + High Income,SKU00263,Essentials,PureCare,Standard,112.39,45.6,786.73,343.26,129.19,-443.47,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 129.2% below average
S0077,Chennai,South,A,High Footfall + Urban + High Income,SKU00131,Frozen,Miko,Premium,118.31,17.19,828.17,346.53,138.99,-481.64,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 139.0% below average
S0095,Bhubaneswar,East,A,High Footfall + Urban + High Income,SKU00239,Staples,Miko,Premium,105.93,31.55,847.44,320.6,164.33,-526.84,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 164.3% below average
S0110,Patna,East,A,High Footfall + Urban + High Income,SKU00239,Staples,Miko,Premium,105.93,31.55,847.44,320.6,164.33,-526.84,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 164.3% below average
S0114,Ahmedabad,West,A,High Footfall + Urban + High Income,SKU00131,Frozen,Miko,Premium,118.31,17.19,946.48,346.53,173.13,-599.95,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 173.1% below average
S0120,Chandigarh,North,A,High Footfall + Urban + High Income,SKU00174,Staples,FizMax,Premium,119.68,15.71,957.44,339.09,182.35,-618.35,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 182.4% below average
S0077,Chennai,South,A,High Footfall + Urban + High Income,SKU00135,Beverages,BakeWell,Premium,119.1,46.53,952.8,332.91,186.2,-619.89,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 186.2% below average
S0031,Pune,West,A,High Footfall + Urban + High Income,SKU00079,Snacks,FizMax,Premium,115.92,33.07,1043.28,353.83,194.86,-689.45,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 194.9% below average
S0031,Pune,West,A,High Footfall + Urban + High Income,SKU00198,Kids,ChillFrost,Premium,116.78,40.8,1051.02,354.32,196.63,-696.7,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 196.6% below average
S0040,Chennai,South,A,High Footfall + Urban + High Income,SKU00159,Frozen,BakeWell,Premium,116.41,43.6,1047.69,320.62,226.77,-727.07,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 226.8% below average
S0084,Patna,East,A,High Footfall + Urban + High Income,SKU00228,Essentials,ChillFrost,Premium,116.31,30.48,1163.1,330.21,252.23,-832.89,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 252.2% below average
S0031,Pune,West,A,High Footfall + Urban + High Income,SKU00207,Kids,BakeWell,Standard,104.92,49.92,1154.12,303.23,280.61,-850.89,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 280.6% below average
S0031,Pune,West,A,High Footfall + Urban + High Income,SKU00174,Staples,FizMax,Premium,119.68,15.71,1196.8,339.09,252.94,-857.71,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 252.9% below average
S0077,Chennai,South,A,High Footfall + Urban + High Income,SKU00199,Beverages,Miko,Premium,108.06,49.9,1188.66,314.24,278.26,-874.42,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 278.3% below average
S0024,Delhi,North,A,High Footfall + Urban + High Income,SKU00079,Snacks,FizMax,Premium,115.92,33.07,1275.12,353.83,260.38,-921.29,GOOD,Performing well - maintain current stock,Key SKU for Cluster A - performing 260.4% below average
