store_id,city,region,cluster,cluster_persona,lacking_sku,category,brand,sku_segment,price,margin_pct,current_revenue,cluster_avg_revenue,gap_percentage,potential_revenue_gain,severity,recommended_action,reason
S0032,Bhubaneswar,East,B,Residential + Medium Footfall,SKU00317,Beverages,Red Bull,Premium,170.95,45,12821.25,1118.76,1046.02,-11702.49,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1046.0% below average
S0102,Lucknow,North,B,Residential + Medium Footfall,SKU00319,Beverages,Monster Energy,Premium,173.25,45,13167.0,1156.63,1038.4,-12010.37,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1038.4% below average
S0037,Delhi,North,B,Residential + Medium Footfall,SKU00356,Beverages,Lipton Ice Tea Premium,Premium,170.0,45,13600.0,1094.95,1142.07,-12505.05,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1142.1% below average
S0089,Chennai,South,B,Residential + Medium Footfall,SKU00356,Beverages,Lipton Ice Tea Premium,Premium,170.0,45,14620.0,1094.95,1235.23,-13525.05,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1235.2% below average
S0048,Kolkata,East,B,Residential + Medium Footfall,SKU00351,Beverages,Starbucks Frappuccino,Premium,162.5,45,14625.0,1061.41,1277.89,-13563.59,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1277.9% below average
S0037,Delhi,North,B,Residential + Medium Footfall,SKU00316,Beverages,Red Bull,Premium,153.25,45,15171.75,956.52,1486.15,-14215.23,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1486.1% below average
S0017,Kolkata,East,B,Residential + Medium Footfall,SKU00302,Beverages,Evian,Premium,155.0,40,15810.0,1021.04,1448.43,-14788.96,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1448.4% below average
S0047,Bhubaneswar,East,B,Residential + Medium Footfall,SKU00326,Beverages,Hell Energy,Premium,157.5,45,15907.5,1003.64,1484.97,-14903.86,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1485.0% below average
S0089,Chennai,South,B,Residential + Medium Footfall,SKU00326,Beverages,Hell Energy,Premium,157.5,45,16065.0,1003.64,1500.67,-15061.36,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1500.7% below average
S0048,Kolkata,East,B,Residential + Medium Footfall,SKU00317,Beverages,Red Bull,Premium,170.95,45,16240.25,1118.76,1351.63,-15121.49,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1351.6% below average
S0032,Bhubaneswar,East,B,Residential + Medium Footfall,SKU00318,Beverages,Red Bull,Premium,175.0,45,16625.0,1198.32,1287.36,-15426.68,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1287.4% below average
S0063,Mumbai,West,B,Residential + Medium Footfall,SKU00310,Beverages,San Pellegrino,Premium,175.0,40,16975.0,1153.31,1371.85,-15821.69,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1371.9% below average
S0073,Lucknow,North,B,Residential + Medium Footfall,SKU00317,Beverages,Red Bull,Premium,170.95,45,17095.0,1118.76,1428.03,-15976.24,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1428.0% below average
S0037,Delhi,North,B,Residential + Medium Footfall,SKU00352,Beverages,Starbucks Frappuccino,Premium,164.05,45,17061.2,1073.57,1489.21,-15987.63,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1489.2% below average
S0043,Chandigarh,North,B,Residential + Medium Footfall,SKU00326,Beverages,Hell Energy,Premium,157.5,45,17325.0,1003.64,1626.21,-16321.36,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1626.2% below average
S0093,Patna,East,B,Residential + Medium Footfall,SKU00302,Beverages,Evian,Premium,155.0,40,17360.0,1021.04,1600.23,-16338.96,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1600.2% below average
S0093,Patna,East,B,Residential + Medium Footfall,SKU00310,Beverages,San Pellegrino,Premium,175.0,40,17500.0,1153.31,1417.37,-16346.69,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1417.4% below average
S0044,Mumbai,West,B,Residential + Medium Footfall,SKU00307,Beverages,Perrier,Premium,175.0,40,18025.0,1160.23,1453.57,-16864.77,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1453.6% below average
S0017,Kolkata,East,B,Residential + Medium Footfall,SKU00320,Beverages,Monster Energy,Premium,195.0,45,18330.0,1211.05,1413.56,-17118.95,GOOD,Performing well - maintain current stock,Key SKU for Cluster B - performing 1413.6% below average
