store_id,city,region,cluster,cluster_persona,lacking_sku,category,brand,sku_segment,price,margin_pct,current_revenue,cluster_avg_revenue,gap_percentage,potential_revenue_gain,severity,recommended_action,reason
S0100,Ahmedabad,West,C,Near Schools,SKU00098,Kids,FizMax,Standard,106.07,44.34,742.49,439.82,68.81,-302.67,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 68.8% below average
S0100,Ahmedabad,West,C,Near Schools,SKU00138,Beverages,Miko,Premium,115.39,37.13,1384.68,476.63,190.51,-908.05,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 190.5% below average
S0012,Mumbai,West,C,Near Schools,SKU00098,Kids,FizMax,Standard,106.07,44.34,1378.91,439.82,213.51,-939.09,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 213.5% below average
S0064,Bhubaneswar,East,C,Near Schools,SKU00292,Essentials,CoolSip,Premium,114.6,29.8,1833.6,480.52,281.59,-1353.08,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 281.6% below average
S0079,Pune,West,C,Near Schools,SKU00098,Kids,FizMax,Standard,106.07,44.34,1803.19,439.82,309.98,-1363.37,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 310.0% below average
S0046,Mumbai,West,C,Near Schools,SKU00236,Frozen,PureCare,Premium,108.39,34.04,1842.63,439.03,319.71,-1403.6,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 319.7% below average
S0041,Pune,West,C,Near Schools,SKU00014,Frozen,BakeWell,Premium,106.65,22.09,2026.35,450.0,350.3,-1576.35,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 350.3% below average
S0051,Ahmedabad,West,C,Near Schools,SKU00016,Staples,BakeWell,Premium,115.74,33.7,2083.32,462.96,350.0,-1620.36,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 350.0% below average
S0068,Hyderabad,South,C,Near Schools,SKU00002,Beverages,PureCare,Premium,118.65,35.03,2135.7,486.7,338.82,-1649.0,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 338.8% below average
S0023,Pune,West,C,Near Schools,SKU00146,Frozen,CoolSip,Premium,119.82,17.34,2156.76,505.97,326.26,-1650.79,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 326.3% below average
S0030,Bangalore,South,C,Near Schools,SKU00135,Beverages,BakeWell,Premium,119.1,46.53,2143.8,464.38,361.65,-1679.42,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 361.6% below average
S0003,Ahmedabad,West,C,Near Schools,SKU00098,Kids,FizMax,Standard,106.07,44.34,2121.4,439.82,382.33,-1681.58,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 382.3% below average
S0012,Mumbai,West,C,Near Schools,SKU00284,Kids,BakeWell,Premium,111.13,43.84,2222.6,457.59,385.71,-1765.01,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 385.7% below average
S0012,Mumbai,West,C,Near Schools,SKU00146,Frozen,CoolSip,Premium,119.82,17.34,2276.58,505.97,349.94,-1770.61,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 349.9% below average
S0064,Bhubaneswar,East,C,Near Schools,SKU00075,Essentials,PureCare,Standard,111.97,47.89,2351.37,458.54,412.79,-1892.83,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 412.8% below average
S0046,Mumbai,West,C,Near Schools,SKU00002,Beverages,PureCare,Premium,118.65,35.03,2491.65,486.7,411.95,-2004.95,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 412.0% below average
S0003,Ahmedabad,West,C,Near Schools,SKU00274,Kids,ChillFrost,Premium,118.92,41.63,2497.32,484.17,415.79,-2013.15,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 415.8% below average
S0012,Mumbai,West,C,Near Schools,SKU00204,Beverages,BakeWell,Premium,106.78,29.88,2455.94,430.3,470.75,-2025.64,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 470.7% below average
S0091,Mumbai,West,C,Near Schools,SKU00187,Beverages,Miko,Premium,116.29,45.54,2558.38,475.53,438.0,-2082.85,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 438.0% below average
S0046,Mumbai,West,C,Near Schools,SKU00205,Staples,CoolSip,Premium,112.24,44.22,2581.52,468.17,451.4,-2113.35,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 451.4% below average
S0051,Ahmedabad,West,C,Near Schools,SKU00010,Essentials,CoolSip,Premium,103.74,48.76,2593.5,429.59,503.72,-2163.91,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 503.7% below average
S0068,Hyderabad,South,C,Near Schools,SKU00138,Beverages,Miko,Premium,115.39,37.13,2653.97,476.63,456.82,-2177.34,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 456.8% below average
S0046,Mumbai,West,C,Near Schools,SKU00231,Essentials,BakeWell,Standard,109.76,45.36,2634.24,440.48,498.04,-2193.76,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 498.0% below average
S0064,Bhubaneswar,East,C,Near Schools,SKU00231,Essentials,BakeWell,Standard,109.76,45.36,2634.24,440.48,498.04,-2193.76,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 498.0% below average
S0051,Ahmedabad,West,C,Near Schools,SKU00064,Snacks,FizMax,Premium,105.11,23.1,2627.75,433.96,505.53,-2193.79,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 505.5% below average
S0068,Hyderabad,South,C,Near Schools,SKU00016,Staples,BakeWell,Premium,115.74,33.7,2662.02,462.96,475.0,-2199.06,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 475.0% below average
S0046,Mumbai,West,C,Near Schools,SKU00173,Kids,Miko,Premium,116.38,35.38,2676.74,472.4,466.63,-2204.34,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 466.6% below average
S0049,Chennai,South,C,Near Schools,SKU00173,Kids,Miko,Premium,116.38,35.38,2676.74,472.4,466.63,-2204.34,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 466.6% below average
S0058,Chennai,South,C,Near Schools,SKU00173,Kids,Miko,Premium,116.38,35.38,2676.74,472.4,466.63,-2204.34,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 466.6% below average
S0064,Bhubaneswar,East,C,Near Schools,SKU00199,Beverages,Miko,Premium,108.06,49.9,2809.56,453.85,519.05,-2355.71,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 519.0% below average
S0012,Mumbai,West,C,Near Schools,SKU00173,Kids,Miko,Premium,116.38,35.38,2909.5,472.4,515.9,-2437.1,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 515.9% below average
S0111,Patna,East,C,Near Schools,SKU00125,Beverages,Miko,Premium,116.53,22.05,3029.78,487.46,521.55,-2542.32,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 521.5% below average
S0100,Ahmedabad,West,C,Near Schools,SKU00284,Kids,BakeWell,Premium,111.13,43.84,3000.51,457.59,555.71,-2542.92,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 555.7% below average
