store_id,city,region,cluster,cluster_persona,lacking_sku,category,brand,sku_segment,price,margin_pct,current_revenue,cluster_avg_revenue,gap_percentage,potential_revenue_gain,severity,recommended_action,reason
S0028,Chandigarh,North,D,Hot Climate + Low Footfall,SKU00320,Beverages,Monster Energy,Premium,195.0,45,16575.0,1293.34,1181.56,-15281.66,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1181.6% below average
S0053,Chandigarh,North,D,Hot Climate + Low Footfall,SKU00356,Beverages,Lipton Ice Tea Premium,Premium,170.0,45,16660.0,1137.77,1364.26,-15522.23,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1364.3% below average
S0061,Kolkata,East,D,Hot Climate + Low Footfall,SKU00320,Beverages,Monster Energy,Premium,195.0,45,16965.0,1293.34,1211.72,-15671.66,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1211.7% below average
S0005,Lucknow,North,D,Hot Climate + Low Footfall,SKU00301,Beverages,Evian,Premium,130.0,40,17550.0,1206.55,1354.56,-16343.45,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1354.6% below average
S0098,Chennai,South,D,Hot Climate + Low Footfall,SKU00301,Beverages,Evian,Premium,130.0,40,18070.0,1206.55,1397.65,-16863.45,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1397.7% below average
S0004,Bangalore,South,D,Hot Climate + Low Footfall,SKU00301,Beverages,Evian,Premium,130.0,40,18330.0,1206.55,1419.2,-17123.45,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1419.2% below average
S0098,Chennai,South,D,Hot Climate + Low Footfall,SKU00318,Beverages,Red Bull,Premium,175.0,45,18550.0,1147.74,1516.22,-17402.26,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1516.2% below average
S0004,Bangalore,South,D,Hot Climate + Low Footfall,SKU00318,Beverages,Red Bull,Premium,175.0,45,18900.0,1147.74,1546.71,-17752.26,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1546.7% below average
S0004,Bangalore,South,D,Hot Climate + Low Footfall,SKU00323,Beverages,Rockstar,Premium,195.0,45,19305.0,1248.59,1446.15,-18056.41,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1446.1% below average
S0042,Mumbai,West,D,Hot Climate + Low Footfall,SKU00325,Beverages,Burn,Premium,195.0,45,19695.0,1294.65,1421.26,-18400.35,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1421.3% below average
S0054,Lucknow,North,D,Hot Climate + Low Footfall,SKU00356,Beverages,Lipton Ice Tea Premium,Premium,170.0,45,19550.0,1137.77,1618.27,-18412.23,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1618.3% below average
S0036,Kolkata,East,D,Hot Climate + Low Footfall,SKU00356,Beverages,Lipton Ice Tea Premium,Premium,170.0,45,20400.0,1137.77,1692.98,-19262.23,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1693.0% below average
S0052,Mumbai,West,D,Hot Climate + Low Footfall,SKU00356,Beverages,Lipton Ice Tea Premium,Premium,170.0,45,20570.0,1137.77,1707.92,-19432.23,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1707.9% below average
S0036,Kolkata,East,D,Hot Climate + Low Footfall,SKU00309,Beverages,San Pellegrino,Premium,150.0,40,21000.0,1383.09,1418.34,-19616.91,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1418.3% below average
S0008,Delhi,North,D,Hot Climate + Low Footfall,SKU00318,Beverages,Red Bull,Premium,175.0,45,20825.0,1147.74,1714.43,-19677.26,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1714.4% below average
S0054,Lucknow,North,D,Hot Climate + Low Footfall,SKU00318,Beverages,Red Bull,Premium,175.0,45,20825.0,1147.74,1714.43,-19677.26,GOOD,Performing well - maintain current stock,Key SKU for Cluster D - performing 1714.4% below average
