store_id,city,region,cluster,cluster_persona,lacking_sku,category,brand,sku_segment,price,margin_pct,current_revenue,cluster_avg_revenue,gap_percentage,potential_revenue_gain,severity,recommended_action,reason
S0106,Chennai,South,E,Industrial Areas,SKU00352,Beverages,Starbucks Frappuccino,Premium,164.05,45,10663.25,1077.65,889.49,-9585.6,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 889.5% below average
S0029,Pune,West,E,Industrial Areas,SKU00351,Beverages,Starbucks Frappuccino,Premium,162.5,45,13325.0,1055.6,1162.32,-12269.4,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1162.3% below average
S0090,Mumbai,West,E,Industrial Areas,SKU00310,Beverages,San Pellegrino,Premium,175.0,40,13475.0,1144.41,1077.46,-12330.59,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1077.5% below average
S0038,Kolkata,East,E,Industrial Areas,SKU00310,Beverages,San Pellegrino,Premium,175.0,40,13650.0,1144.41,1092.76,-12505.59,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1092.8% below average
S0029,Pune,West,E,Industrial Areas,SKU00352,Beverages,Starbucks Frappuccino,Premium,164.05,45,13944.25,1077.65,1193.95,-12866.6,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1193.9% below average
S0101,Bhubaneswar,East,E,Industrial Areas,SKU00324,Beverages,Burn,Premium,157.5,45,14490.0,1038.96,1294.66,-13451.04,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1294.7% below average
S0035,Pune,West,E,Industrial Areas,SKU00324,Beverages,Burn,Premium,157.5,45,15277.5,1038.96,1370.45,-14238.54,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1370.5% below average
S0038,Kolkata,East,E,Industrial Areas,SKU00342,Beverages,Tropicana Premium,Premium,200.0,40,15600.0,1308.35,1092.34,-14291.65,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1092.3% below average
S0019,Lucknow,North,E,Industrial Areas,SKU00302,Beverages,Evian,Premium,155.0,40,15965.0,1019.99,1465.21,-14945.01,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1465.2% below average
S0112,Delhi,North,E,Industrial Areas,SKU00314,Beverages,Voss,Premium,230.0,40,16560.0,1445.01,1046.01,-15114.99,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1046.0% below average
S0094,Ahmedabad,West,E,Industrial Areas,SKU00322,Beverages,Rockstar,Premium,173.25,45,16458.75,1134.61,1350.61,-15324.14,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1350.6% below average
S0106,Chennai,South,E,Industrial Areas,SKU00302,Beverages,Evian,Premium,155.0,40,16430.0,1019.99,1510.79,-15410.01,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1510.8% below average
S0075,Pune,West,E,Industrial Areas,SKU00345,Beverages,Real Activ,Premium,210.0,40,16800.0,1351.79,1142.79,-15448.21,GOOD,Performing well - maintain current stock,Key SKU for Cluster E - performing 1142.8% below average
