cluster,rank,sku_id,category,brand,sku_segment,price,margin_pct,total_revenue,total_units,margin_contribution,velocity,recommendation_score,recommendation_reason,stock_level,suggested_reorder_qty,price_strategy,pack_size
A,7,SKU00107,Snacks,FizMax,Premium,119.44,47.97,44312.24,371,21256.58,1.59,45.9,High Revenue Generator,Low,15,Premium Pricing,250
A,1,SKU00292,Essentials,CoolSip,Premium,114.6,29.8,47100.6,411,14035.98,1.57,41.12,High Revenue Generator,Low,15,Value Pricing,500
A,81,SKU00140,Staples,FizMax,Value,82.93,49.93,34250.09,413,17101.07,1.82,22.99,Fast Moving Item,Low,18,Premium Pricing,200
A,21,SKU00290,Frozen,BakeWell,Premium,108.41,49.99,41737.85,385,20864.75,1.58,22.08,High Margin Contributor,Low,15,Premium Pricing,500
A,2,SKU00002,Beverages,PureCare,Premium,118.65,35.03,46392.15,391,16251.17,1.62,21.93,High Revenue Generator,Low,16,Competitive Pricing,200
A,12,SKU00135,Beverages,BakeWell,Premium,119.1,46.53,43233.3,363,20116.45,1.62,16.92,High Margin Contributor,Low,16,Premium Pricing,500
A,3,SKU00282,Kids,PureCare,Premium,119.45,31.54,45629.9,382,14391.67,1.61,14.68,High Revenue Generator,Low,16,Competitive Pricing,1000
A,13,SKU00263,Essentials,PureCare,Standard,112.39,45.6,43045.37,383,19628.69,1.54,13.2,High Margin Contributor,Low,15,Premium Pricing,1000
A,4,SKU00016,Staples,BakeWell,Premium,115.74,33.7,44675.64,386,15055.69,1.66,11.59,High Revenue Generator,Low,16,Competitive Pricing,500
A,14,SKU00164,Frozen,CoolSip,Standard,97.34,32.6,42926.94,441,13994.18,1.78,10.48,Fast Moving Item,Low,17,Competitive Pricing,1000
A,224,SKU00201,Staples,BakeWell,Standard,32.77,31.92,13697.86,418,4372.36,1.79,10.37,Fast Moving Item,Low,17,Competitive Pricing,1000
A,29,SKU00099,Essentials,FizMax,Standard,112.37,45.93,40790.31,363,18734.99,1.5,9.47,High Margin Contributor,Low,15,Premium Pricing,1000
A,5,SKU00091,Kids,Miko,Premium,119.5,34.38,44454.0,372,15283.29,1.58,9.39,High Revenue Generator,Low,15,Competitive Pricing,200
A,24,SKU00231,Essentials,BakeWell,Standard,109.76,45.36,41160.0,375,18670.18,1.52,8.43,High Margin Contributor,Low,15,Premium Pricing,1000
A,6,SKU00104,Snacks,PureCare,Premium,115.94,30.77,44405.02,383,13663.42,1.68,8.12,High Revenue Generator,Low,16,Competitive Pricing,500
A,19,SKU00234,Snacks,ChillFrost,Standard,93.01,32.78,42133.53,453,13811.37,1.78,7.97,Fast Moving Item,Low,17,Competitive Pricing,1000
A,35,SKU00187,Beverages,Miko,Premium,116.29,45.54,40468.92,348,18429.55,1.53,6.97,High Margin Contributor,Low,15,Premium Pricing,250
A,25,SKU00026,Staples,CoolSip,Premium,114.59,44.72,41023.22,358,18345.58,1.5,6.69,High Margin Contributor,Low,14,Premium Pricing,500
A,10,SKU00037,Beverages,Miko,Premium,100.7,37.48,44005.9,437,16493.41,1.68,6.55,High Revenue Generator,Low,16,Competitive Pricing,200
A,42,SKU00098,Kids,FizMax,Standard,106.07,44.34,39670.18,374,17589.76,1.74,5.81,Fast Moving Item,Low,17,Premium Pricing,1000
B,4,SKU00107,Snacks,FizMax,Premium,119.44,47.97,254526.64,2131,122096.43,3.04,50.12,High Revenue Generator,Medium,60,Premium Pricing,250
B,1,SKU00282,Kids,PureCare,Premium,119.45,31.54,264462.3,2214,83411.41,3.16,41.98,High Revenue Generator,Medium,63,Competitive Pricing,1000
B,7,SKU00187,Beverages,Miko,Premium,116.29,45.54,249790.92,2148,113754.78,3.03,25.83,High Revenue Generator,Medium,60,Premium Pricing,250
B,3,SKU00134,Essentials,ChillFrost,Premium,106.49,34.82,256214.94,2406,89214.04,3.23,21.6,High Revenue Generator,Medium,64,Competitive Pricing,500
B,2,SKU00131,Frozen,Miko,Premium,118.31,17.19,256496.08,2168,44091.68,3.03,20.4,High Revenue Generator,Medium,60,Value Pricing,250
B,292,SKU00175,Essentials,CoolSip,Value,13.23,21.16,27849.15,2105,5892.88,3.25,20.27,Fast Moving Item,Medium,64,Value Pricing,200
B,14,SKU00135,Beverages,BakeWell,Premium,119.1,46.53,244155.0,2050,113605.32,2.99,16.28,High Margin Contributor,Medium,59,Premium Pricing,500
B,10,SKU00231,Essentials,BakeWell,Standard,109.76,45.36,245203.84,2234,111224.46,3.17,13.05,High Revenue Generator,Medium,63,Premium Pricing,1000
B,5,SKU00274,Kids,ChillFrost,Premium,118.92,41.63,250088.76,2103,104111.95,3.04,11.77,High Revenue Generator,Medium,60,Premium Pricing,250
B,30,SKU00064,Snacks,FizMax,Premium,105.11,23.1,228193.81,2171,52712.77,3.24,11.66,Fast Moving Item,Medium,64,Value Pricing,1000
B,26,SKU00075,Essentials,PureCare,Standard,111.97,47.89,232785.63,2079,111481.04,2.96,11.62,High Margin Contributor,Medium,59,Premium Pricing,1000
B,6,SKU00198,Kids,ChillFrost,Premium,116.78,40.8,250025.98,2141,102010.6,3.12,9.55,High Revenue Generator,Medium,62,Premium Pricing,200
B,18,SKU00284,Kids,BakeWell,Premium,111.13,43.84,243041.31,2187,106549.31,3.2,9.17,High Margin Contributor,Medium,63,Premium Pricing,200
B,20,SKU00263,Essentials,PureCare,Standard,112.39,45.6,238042.02,2118,108547.16,3.03,7.83,High Margin Contributor,Medium,60,Premium Pricing,1000
B,37,SKU00199,Beverages,Miko,Premium,108.06,49.9,221739.12,2052,110647.82,2.96,7.83,High Margin Contributor,Medium,59,Premium Pricing,250
B,13,SKU00159,Frozen,BakeWell,Premium,116.41,43.6,244344.59,2099,106534.24,3.08,7.3,High Margin Contributor,Medium,61,Premium Pricing,1000
B,9,SKU00079,Snacks,FizMax,Premium,115.92,33.07,245286.72,2116,81116.32,3.17,6.44,High Revenue Generator,Medium,63,Competitive Pricing,1000
B,38,SKU00010,Essentials,CoolSip,Premium,103.74,48.76,220654.98,2127,107591.37,3.05,6.19,High Margin Contributor,Medium,60,Premium Pricing,200
