feature,importance
sales_value_7d_avg,0.9616679683715271
sales_value_lag_1,0.01353677788654883
sales_value_30d_avg,0.007269517645000263
sales_value_lag_14,0.0038309910770151666
sales_value_lag_7,0.003554758582535716
sales_value_lag_30,0.0033748487032592735
day_of_year,0.0018921409104425534
population_density,0.0009686929243609037
cooler_capacity,0.0008746737752866184
avg_temperature,0.0007584264501563147
footfall,0.0007253972439714005
day_of_week,0.0006637812804479953
income_level,0.00042407847597308596
month,0.00022658171081144682
ml_cluster_numeric,0.0001985383276947641
quarter,3.282663496847596e-05
