cluster,forecast_date,forecasted_sales
A,2024-12-31,3417.5499999999997
A,2025-01-01,3502.48
A,2025-01-02,3499.84
A,2025-01-03,3499.84
A,2025-01-04,3499.84
A,2025-01-05,3456.8
A,2025-01-06,3444.96
A,2025-01-07,3462.83
A,2025-01-08,3459.44
A,2025-01-09,3456.8
A,2025-01-10,3456.8
A,2025-01-11,3370.54
A,2025-01-12,3370.54
A,2025-01-13,3358.7
A,2025-01-14,3376.5699999999997
A,2025-01-15,3418.49
A,2025-01-16,3415.85
A,2025-01-17,3415.85
A,2025-01-18,3415.85
A,2025-01-19,3415.85
A,2025-01-20,3404.01
A,2025-01-21,3421.87
A,2025-01-22,3418.49
A,2025-01-23,3415.85
A,2025-01-24,3415.85
A,2025-01-25,3415.85
A,2025-01-26,3415.85
A,2025-01-27,3404.01
A,2025-01-28,3421.87
A,2025-01-29,3418.49
B,2024-12-31,5964.68
B,2025-01-01,6085.26
B,2025-01-02,6082.62
B,2025-01-03,6082.62
B,2025-01-04,6082.62
B,2025-01-05,6075.54
B,2025-01-06,6077.78
B,2025-01-07,6082.7
B,2025-01-08,6078.18
B,2025-01-09,6075.54
B,2025-01-10,6075.54
B,2025-01-11,5889.469999999999
B,2025-01-12,5889.469999999999
B,2025-01-13,5891.719999999999
B,2025-01-14,5896.63
B,2025-01-15,5951.780000000001
B,2025-01-16,5949.139999999999
B,2025-01-17,5949.139999999999
B,2025-01-18,5949.139999999999
B,2025-01-19,5949.139999999999
B,2025-01-20,5951.38
B,2025-01-21,5967.74
B,2025-01-22,5963.23
B,2025-01-23,5960.59
B,2025-01-24,5960.59
B,2025-01-25,5960.59
B,2025-01-26,5960.59
B,2025-01-27,5962.82
B,2025-01-28,5967.74
B,2025-01-29,5963.23
C,2024-12-31,2880.62
C,2025-01-01,2881.59
C,2025-01-02,2881.59
C,2025-01-03,2881.59
C,2025-01-04,2881.59
C,2025-01-05,2881.59
C,2025-01-06,2851.97
C,2025-01-07,2884.76
C,2025-01-08,2881.59
C,2025-01-09,2881.59
C,2025-01-10,2881.59
C,2025-01-11,2867.54
C,2025-01-12,2867.54
C,2025-01-13,2837.92
C,2025-01-14,2870.72
C,2025-01-15,2863.97
C,2025-01-16,2863.97
C,2025-01-17,2863.97
C,2025-01-18,2863.97
C,2025-01-19,2863.97
C,2025-01-20,2822.25
C,2025-01-21,2841.16
C,2025-01-22,2837.98
C,2025-01-23,2837.98
C,2025-01-24,2837.98
C,2025-01-25,2837.98
C,2025-01-26,2837.98
C,2025-01-27,2808.36
C,2025-01-28,2841.16
C,2025-01-29,2837.98
D,2024-12-31,4486.63
D,2025-01-01,4494.12
D,2025-01-02,4494.12
D,2025-01-03,4494.12
D,2025-01-04,4547.52
D,2025-01-05,4547.52
D,2025-01-06,4535.389999999999
D,2025-01-07,4552.42
D,2025-01-08,4552.04
D,2025-01-09,4552.04
D,2025-01-10,4552.04
D,2025-01-11,4468.8
D,2025-01-12,4468.8
D,2025-01-13,4456.67
D,2025-01-14,4473.700000000001
D,2025-01-15,4452.07
D,2025-01-16,4452.07
D,2025-01-17,4452.07
D,2025-01-18,4447.55
D,2025-01-19,4447.55
D,2025-01-20,4435.42
D,2025-01-21,4463.9
D,2025-01-22,4463.52
D,2025-01-23,4463.52
D,2025-01-24,4463.52
D,2025-01-25,4459.0
D,2025-01-26,4459.0
D,2025-01-27,4446.87
D,2025-01-28,4463.9
D,2025-01-29,4463.52
