store_id,month,cluster,forecasted_monthly_sales
S0001,2024-12,B,899.58
S0001,2025-01,B,26054.49
S0002,2024-12,B,1852.26
S0002,2025-01,B,54056.16
S0003,2024-12,C,2880.62
S0003,2025-01,C,82893.83
S0004,2024-12,A,751.02
S0004,2025-01,A,21840.27
S0005,2024-12,A,1670.37
S0005,2025-01,A,48740.65
S0006,2024-12,D,2037.06
S0006,2025-01,D,59327.82
S0007,2024-12,B,2063.01
S0007,2025-01,B,60248.97
S0008,2024-12,A,996.16
S0008,2025-01,A,28869.09
S0009,2024-12,D,2449.57
S0009,2025-01,D,70694.96
S0010,2024-12,B,1149.83
S0010,2025-01,B,33372.91
