forecast_date,forecasted_total_sales
2024-12-31,16749.48
2025-01-01,16963.45
2025-01-02,16958.17
2025-01-03,16958.17
2025-01-04,17011.57
2025-01-05,16961.45
2025-01-06,16910.1
2025-01-07,16982.71
2025-01-08,16971.25
2025-01-09,16965.97
2025-01-10,16965.97
2025-01-11,16596.35
2025-01-12,16596.35
2025-01-13,16545.01
2025-01-14,16617.62
2025-01-15,16686.31
2025-01-16,16681.03
2025-01-17,16681.03
2025-01-18,16676.510000000002
2025-01-19,16676.510000000002
2025-01-20,16613.06
2025-01-21,16694.67
2025-01-22,16683.22
2025-01-23,16677.94
2025-01-24,16677.94
2025-01-25,16673.42
2025-01-26,16673.42
2025-01-27,16622.06
2025-01-28,16694.67
2025-01-29,16683.22
