store_id,city,region,cluster,cluster_persona,lacking_sku,category,brand,sku_segment,price,margin_pct,current_revenue,cluster_avg_revenue,gap_percentage,potential_revenue_gain,severity,recommended_action,reason
S0058,Chennai,South,C,Near Schools,SKU00309,Beverages,San Pellegrino,Premium,150.0,40,13350.0,978.29,1264.63,-12371.71,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1264.6% below average
S0041,Pune,West,C,Near Schools,SKU00309,Beverages,San Pellegrino,Premium,150.0,40,14100.0,978.29,1341.29,-13121.71,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1341.3% below average
S0064,Bhubaneswar,East,C,Near Schools,SKU00303,Beverages,Evian,Premium,180.0,40,14760.0,1194.58,1135.58,-13565.42,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1135.6% below average
S0091,Mumbai,West,C,Near Schools,SKU00318,Beverages,Red Bull,Premium,175.0,45,15050.0,1134.62,1226.43,-13915.38,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1226.4% below average
S0058,Chennai,South,C,Near Schools,SKU00311,Beverages,Fiji Water,Premium,200.0,40,15200.0,1255.93,1110.26,-13944.07,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1110.3% below average
S0065,Chandigarh,North,C,Near Schools,SKU00303,Beverages,Evian,Premium,180.0,40,15660.0,1194.58,1210.92,-14465.42,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1210.9% below average
S0041,Pune,West,C,Near Schools,SKU00356,Beverages,Lipton Ice Tea Premium,Premium,170.0,45,16830.0,1077.86,1461.43,-15752.14,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1461.4% below average
S0051,Ahmedabad,West,C,Near Schools,SKU00310,Beverages,San Pellegrino,Premium,175.0,40,17150.0,1181.86,1351.1,-15968.14,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1351.1% below average
S0119,Chandigarh,North,C,Near Schools,SKU00303,Beverages,Evian,Premium,180.0,40,17280.0,1194.58,1346.53,-16085.42,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1346.5% below average
S0100,Ahmedabad,West,C,Near Schools,SKU00311,Beverages,Fiji Water,Premium,200.0,40,17600.0,1255.93,1301.35,-16344.07,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1301.4% below average
S0064,Bhubaneswar,East,C,Near Schools,SKU00310,Beverages,San Pellegrino,Premium,175.0,40,17675.0,1181.86,1395.52,-16493.14,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1395.5% below average
S0041,Pune,West,C,Near Schools,SKU00327,Beverages,Hell Energy,Premium,195.0,45,17745.0,1244.58,1325.78,-16500.42,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1325.8% below average
S0068,Hyderabad,South,C,Near Schools,SKU00322,Beverages,Rockstar,Premium,173.25,45,17844.75,1110.74,1506.56,-16734.01,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1506.6% below average
S0111,Patna,East,C,Near Schools,SKU00313,Beverages,Voss,Premium,187.5,40,18375.0,1238.6,1383.53,-17136.4,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1383.5% below average
S0068,Hyderabad,South,C,Near Schools,SKU00318,Beverages,Red Bull,Premium,175.0,45,18375.0,1134.62,1519.48,-17240.38,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1519.5% below average
S0068,Hyderabad,South,C,Near Schools,SKU00320,Beverages,Monster Energy,Premium,195.0,45,18525.0,1267.29,1361.79,-17257.71,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1361.8% below average
S0046,Mumbai,West,C,Near Schools,SKU00317,Beverages,Red Bull,Premium,170.95,45,18462.6,1148.72,1507.23,-17313.88,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1507.2% below average
S0065,Chandigarh,North,C,Near Schools,SKU00307,Beverages,Perrier,Premium,175.0,40,18550.0,1137.5,1530.77,-17412.5,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1530.8% below average
S0046,Mumbai,West,C,Near Schools,SKU00322,Beverages,Rockstar,Premium,173.25,45,18537.75,1110.74,1568.95,-17427.01,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1569.0% below average
S0079,Pune,West,C,Near Schools,SKU00318,Beverages,Red Bull,Premium,175.0,45,19250.0,1134.62,1596.6,-18115.38,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1596.6% below average
S0030,Bangalore,South,C,Near Schools,SKU00321,Beverages,Monster Energy,Premium,202.95,45,19483.2,1314.26,1382.45,-18168.94,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1382.4% below average
S0030,Bangalore,South,C,Near Schools,SKU00309,Beverages,San Pellegrino,Premium,150.0,40,19350.0,978.29,1877.94,-18371.71,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1877.9% below average
S0100,Ahmedabad,West,C,Near Schools,SKU00352,Beverages,Starbucks Frappuccino,Premium,164.05,45,19521.95,1109.37,1659.73,-18412.58,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1659.7% below average
S0023,Pune,West,C,Near Schools,SKU00320,Beverages,Monster Energy,Premium,195.0,45,19695.0,1267.29,1454.11,-18427.71,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1454.1% below average
S0051,Ahmedabad,West,C,Near Schools,SKU00326,Beverages,Hell Energy,Premium,157.5,45,19845.0,1036.17,1815.23,-18808.83,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1815.2% below average
S0068,Hyderabad,South,C,Near Schools,SKU00317,Beverages,Red Bull,Premium,170.95,45,20172.1,1148.72,1656.04,-19023.38,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1656.0% below average
S0046,Mumbai,West,C,Near Schools,SKU00309,Beverages,San Pellegrino,Premium,150.0,40,20250.0,978.29,1969.94,-19271.71,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1969.9% below average
S0003,Ahmedabad,West,C,Near Schools,SKU00323,Beverages,Rockstar,Premium,195.0,45,20670.0,1316.69,1469.85,-19353.31,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1469.8% below average
S0058,Chennai,South,C,Near Schools,SKU00326,Beverages,Hell Energy,Premium,157.5,45,20632.5,1036.17,1891.23,-19596.33,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1891.2% below average
S0100,Ahmedabad,West,C,Near Schools,SKU00351,Beverages,Starbucks Frappuccino,Premium,162.5,45,20637.5,1040.22,1883.96,-19597.28,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1884.0% below average
S0011,Hyderabad,South,C,Near Schools,SKU00310,Beverages,San Pellegrino,Premium,175.0,40,20825.0,1181.86,1662.05,-19643.14,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1662.1% below average
S0068,Hyderabad,South,C,Near Schools,SKU00356,Beverages,Lipton Ice Tea Premium,Premium,170.0,45,20740.0,1077.86,1824.19,-19662.14,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1824.2% below average
S0023,Pune,West,C,Near Schools,SKU00356,Beverages,Lipton Ice Tea Premium,Premium,170.0,45,20910.0,1077.86,1839.96,-19832.14,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1840.0% below average
S0119,Chandigarh,North,C,Near Schools,SKU00307,Beverages,Perrier,Premium,175.0,40,21000.0,1137.5,1746.15,-19862.5,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1746.2% below average
S0030,Bangalore,South,C,Near Schools,SKU00326,Beverages,Hell Energy,Premium,157.5,45,20947.5,1036.17,1921.63,-19911.33,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1921.6% below average
S0046,Mumbai,West,C,Near Schools,SKU00342,Beverages,Tropicana Premium,Premium,200.0,40,21200.0,1265.46,1575.28,-19934.54,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1575.3% below average
S0079,Pune,West,C,Near Schools,SKU00343,Beverages,Tropicana Premium,Premium,260.0,40,21580.0,1616.95,1234.61,-19963.05,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1234.6% below average
S0091,Mumbai,West,C,Near Schools,SKU00321,Beverages,Monster Energy,Premium,202.95,45,21309.75,1314.26,1521.43,-19995.49,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1521.4% below average
S0046,Mumbai,West,C,Near Schools,SKU00352,Beverages,Starbucks Frappuccino,Premium,164.05,45,21490.55,1109.37,1837.18,-20381.18,GOOD,Performing well - maintain current stock,Key SKU for Cluster C - performing 1837.2% below average
