feature,importance
sales_value_7d_avg,0.913430748200254
sales_value_lag_1,0.026245311640356542
sales_value_30d_avg,0.01597009380920242
sales_value_lag_7,0.009049831655795404
sales_value_lag_14,0.008541505195605687
sales_value_lag_30,0.008039936135488436
day_of_year,0.004618754673189844
population_density,0.002810918262210811
cooler_capacity,0.002788134559385562
day_of_week,0.0024829073892014314
footfall,0.002282159175593814
avg_temperature,0.0020970325133580197
income_level,0.00099108091038301
month,0.00039999537470325583
quarter,0.00021432296519812146
cluster_label_numeric,3.7267540073643875e-05
