store_id,forecast_date,days_ahead,predicted_sales_value,cluster,month
S0001,2024-12-31,1,8826.59,E,2024-12
S0001,2025-01-01,2,8912.65,E,2025-01
S0001,2025-01-02,3,8912.65,E,2025-01
S0001,2025-01-03,4,8748.1,E,2025-01
S0001,2025-01-04,5,8748.1,E,2025-01
S0001,2025-01-05,6,8723.84,E,2025-01
S0001,2025-01-06,7,8682.48,E,2025-01
S0001,2025-01-07,8,8682.48,E,2025-01
S0001,2025-01-08,9,8682.48,E,2025-01
S0001,2025-01-09,10,8682.48,E,2025-01
S0001,2025-01-10,11,8682.48,E,2025-01
S0001,2025-01-11,12,8713.19,E,2025-01
S0001,2025-01-12,13,8754.54,E,2025-01
S0001,2025-01-13,14,8713.19,E,2025-01
S0001,2025-01-14,15,8713.19,E,2025-01
S0001,2025-01-15,16,8713.19,E,2025-01
S0001,2025-01-16,17,8713.19,E,2025-01
S0001,2025-01-17,18,8713.19,E,2025-01
S0001,2025-01-18,19,8713.19,E,2025-01
S0001,2025-01-19,20,8754.54,E,2025-01
S0001,2025-01-20,21,8713.19,E,2025-01
S0001,2025-01-21,22,8713.19,E,2025-01
S0001,2025-01-22,23,8713.19,E,2025-01
S0001,2025-01-23,24,8713.19,E,2025-01
S0001,2025-01-24,25,8713.19,E,2025-01
S0001,2025-01-25,26,8713.19,E,2025-01
S0001,2025-01-26,27,8754.54,E,2025-01
S0001,2025-01-27,28,8713.19,E,2025-01
S0001,2025-01-28,29,8713.19,E,2025-01
S0001,2025-01-29,30,8713.19,E,2025-01
S0002,2024-12-31,1,8806.36,E,2024-12
S0002,2025-01-01,2,8535.8,E,2025-01
S0002,2025-01-02,3,8535.8,E,2025-01
S0002,2025-01-03,4,8535.8,E,2025-01
S0002,2025-01-04,5,8646.79,E,2025-01
S0002,2025-01-05,6,8817.07,E,2025-01
S0002,2025-01-06,7,8650.83,E,2025-01
S0002,2025-01-07,8,8650.83,E,2025-01
S0002,2025-01-08,9,8650.83,E,2025-01
S0002,2025-01-09,10,8705.02,E,2025-01
S0002,2025-01-10,11,8705.02,E,2025-01
S0002,2025-01-11,12,8846.72,E,2025-01
S0002,2025-01-12,13,8901.97,E,2025-01
S0002,2025-01-13,14,8735.73,E,2025-01
S0002,2025-01-14,15,8735.73,E,2025-01
S0002,2025-01-15,16,8735.73,E,2025-01
S0002,2025-01-16,17,8735.73,E,2025-01
S0002,2025-01-17,18,8735.73,E,2025-01
S0002,2025-01-18,19,8692.27,E,2025-01
S0002,2025-01-19,20,8747.52,E,2025-01
S0002,2025-01-20,21,8735.73,E,2025-01
S0002,2025-01-21,22,8735.73,E,2025-01
S0002,2025-01-22,23,8735.73,E,2025-01
S0002,2025-01-23,24,8735.73,E,2025-01
S0002,2025-01-24,25,8735.73,E,2025-01
S0002,2025-01-25,26,8692.27,E,2025-01
S0002,2025-01-26,27,8747.52,E,2025-01
S0002,2025-01-27,28,8735.73,E,2025-01
S0002,2025-01-28,29,8735.73,E,2025-01
S0002,2025-01-29,30,8735.73,E,2025-01
S0003,2024-12-31,1,9632.76,C,2024-12
S0003,2025-01-01,2,9564.27,C,2025-01
S0003,2025-01-02,3,9564.27,C,2025-01
S0003,2025-01-03,4,9399.72,C,2025-01
S0003,2025-01-04,5,9399.72,C,2025-01
S0003,2025-01-05,6,9390.36,C,2025-01
S0003,2025-01-06,7,9334.1,C,2025-01
S0003,2025-01-07,8,9334.1,C,2025-01
S0003,2025-01-08,9,9334.1,C,2025-01
S0003,2025-01-09,10,9334.1,C,2025-01
S0003,2025-01-10,11,9334.1,C,2025-01
S0003,2025-01-11,12,9364.81,C,2025-01
S0003,2025-01-12,13,9421.07,C,2025-01
S0003,2025-01-13,14,9364.81,C,2025-01
S0003,2025-01-14,15,9364.81,C,2025-01
S0003,2025-01-15,16,9364.81,C,2025-01
S0003,2025-01-16,17,9364.81,C,2025-01
S0003,2025-01-17,18,9364.81,C,2025-01
S0003,2025-01-18,19,9364.81,C,2025-01
S0003,2025-01-19,20,9421.07,C,2025-01
S0003,2025-01-20,21,9364.81,C,2025-01
S0003,2025-01-21,22,9364.81,C,2025-01
S0003,2025-01-22,23,9562.12,C,2025-01
S0003,2025-01-23,24,9562.12,C,2025-01
S0003,2025-01-24,25,9562.12,C,2025-01
S0003,2025-01-25,26,9562.12,C,2025-01
S0003,2025-01-26,27,9618.39,C,2025-01
S0003,2025-01-27,28,9562.12,C,2025-01
S0003,2025-01-28,29,9562.12,C,2025-01
