store_id,month,cluster,forecasted_monthly_sales
S0001,2024-12,E,8826.59
S0001,2025-01,E,253132.40000000002
S0002,2024-12,E,8806.36
S0002,2025-01,E,252626.55
S0003,2024-12,C,9632.76
S0003,2025-01,C,273667.5
S0004,2024-12,D,9233.08
S0004,2025-01,D,264264.86
S0005,2024-12,D,10693.46
S0005,2025-01,D,311673.25
S0006,2024-12,A,18424.55
S0006,2025-01,A,572079.12
S0007,2024-12,E,8253.96
S0007,2025-01,E,221929.85
S0008,2024-12,D,8276.73
S0008,2025-01,D,253773.05000000002
S0009,2024-12,A,22073.07
S0009,2025-01,A,683969.54
S0010,2024-12,E,7567.35
S0010,2025-01,E,220283.98
