cluster_label,sku_id,total_units,avg_units_per_transaction,transaction_count,total_value,avg_value_per_transaction,category,brand,price,margin_pct,ml_sku_cluster,sku_segment
A,SKU00001,2704,6.2592592592592595,432,37856.0,87.62962962962963,Beverages,Campa Cola,14.0,35,0,Economy
A,SKU00002,2909,6.450110864745011,451,43635.0,96.75166297117516,Beverages,Campa Cola,15.0,35,0,Economy
A,SKU00003,2837,6.491990846681922,437,45392.0,103.87185354691076,Beverages,Campa Cola,16.0,35,0,Economy
A,SKU00004,2768,6.377880184331797,434,55360.0,127.55760368663594,Beverages,Campa Cola,20.0,35,0,Economy
A,SKU00005,2660,6.0592255125284735,439,58520.0,133.30296127562642,Beverages,Campa Cola,22.0,35,0,Economy
A,SKU00006,4827,6.401856763925729,754,120675.0,160.04641909814325,Beverages,Campa Cola,25.0,35,0,Mid-Range
A,SKU00007,4604,6.6435786435786435,693,138120.0,199.30735930735932,Beverages,Campa Cola,30.0,35,0,Mid-Range
A,SKU00008,4879,6.5227272727272725,748,170765.0,228.29545454545453,Beverages,Campa Cola,35.0,35,0,Mid-Range
A,SKU00009,4449,6.410662824207493,694,177960.0,256.42651296829973,Beverages,Campa Cola,40.0,35,0,Mid-Range
A,SKU00010,14700,13.267148014440433,1108,735000.0,663.3574007220217,Beverages,Campa Cola,50.0,35,0,Premium
A,SKU00011,3216,6.886509635974304,467,45024.0,96.41113490364026,Beverages,Thums Up,14.0,35,0,Economy
A,SKU00012,2821,6.5,434,42315.0,97.5,Beverages,Thums Up,15.0,35,0,Economy
A,SKU00013,2815,6.607981220657277,426,45040.0,105.72769953051643,Beverages,Thums Up,16.0,35,0,Economy
A,SKU00014,3102,6.585987261146497,471,62040.0,131.71974522292993,Beverages,Thums Up,20.0,35,0,Economy
A,SKU00015,2738,5.965141612200436,459,60236.0,131.23311546840958,Beverages,Thums Up,22.0,35,0,Economy
A,SKU00016,4357,6.454814814814815,675,108925.0,161.37037037037038,Beverages,Thums Up,25.0,35,0,Mid-Range
A,SKU00017,4984,6.540682414698162,762,149520.0,196.2204724409449,Beverages,Thums Up,30.0,35,0,Mid-Range
A,SKU00018,4638,6.477653631284916,716,162330.0,226.71787709497207,Beverages,Thums Up,35.0,35,0,Mid-Range
A,SKU00019,4346,6.6656441717791415,652,173840.0,266.62576687116564,Beverages,Thums Up,40.0,35,0,Mid-Range
A,SKU00020,14808,13.116031886625333,1129,740400.0,655.8015943312666,Beverages,Thums Up,50.0,35,0,Premium
A,SKU00021,2736,6.392523364485982,428,38304.0,89.49532710280374,Beverages,Coca-Cola,14.0,35,0,Economy
A,SKU00022,2803,6.428899082568807,436,42045.0,96.43348623853211,Beverages,Coca-Cola,15.0,35,0,Economy
A,SKU00023,3130,6.589473684210526,475,50080.0,105.43157894736842,Beverages,Coca-Cola,16.0,35,0,Economy
A,SKU00024,2885,6.368653421633554,453,57700.0,127.37306843267108,Beverages,Coca-Cola,20.0,35,0,Economy
A,SKU00025,2853,6.65034965034965,429,62766.0,146.30769230769232,Beverages,Coca-Cola,22.0,35,0,Economy
A,SKU00026,4607,6.525495750708215,706,115175.0,163.1373937677054,Beverages,Coca-Cola,25.0,35,0,Mid-Range
A,SKU00027,4321,6.401481481481482,675,129630.0,192.04444444444445,Beverages,Coca-Cola,30.0,35,0,Mid-Range
A,SKU00028,4104,6.237082066869301,658,143640.0,218.29787234042553,Beverages,Coca-Cola,35.0,35,0,Mid-Range
A,SKU00029,4567,6.618840579710145,690,182680.0,264.7536231884058,Beverages,Coca-Cola,40.0,35,0,Mid-Range
A,SKU00030,14818,12.93019197207679,1146,740900.0,646.5095986038394,Beverages,Coca-Cola,50.0,35,0,Premium
A,SKU00031,2893,6.5157657657657655,444,40502.0,91.22072072072072,Beverages,Pepsi,14.0,35,0,Economy
A,SKU00032,2765,6.241534988713318,443,41475.0,93.62302483069978,Beverages,Pepsi,15.0,35,0,Economy
A,SKU00033,2934,6.9691211401425175,421,46944.0,111.50593824228028,Beverages,Pepsi,16.0,35,0,Economy
A,SKU00034,2722,6.286374133949192,433,54440.0,125.72748267898383,Beverages,Pepsi,20.0,35,0,Economy
A,SKU00035,2702,6.464114832535885,418,59444.0,142.21052631578948,Beverages,Pepsi,22.0,35,0,Economy
A,SKU00036,4436,6.28328611898017,706,110900.0,157.08215297450425,Beverages,Pepsi,25.0,35,0,Mid-Range
A,SKU00037,4622,6.584045584045584,702,138660.0,197.52136752136752,Beverages,Pepsi,30.0,35,0,Mid-Range
A,SKU00038,4643,6.3865199449793675,727,162505.0,223.52819807427787,Beverages,Pepsi,35.0,35,0,Mid-Range
A,SKU00039,4466,6.596750369276219,677,178640.0,263.8700147710488,Beverages,Pepsi,40.0,35,0,Mid-Range
