cluster,sku_id,category,brand,total_revenue,total_units,velocity,action,suggested_replacement,reason
A,SKU00001,Beverages,Campa Cola,37856.0,2704,6.26,Consider Removal,SKU00349,Low Sales Performance
A,SKU00002,Beverages,Campa Cola,43635.0,2909,6.45,Consider Removal,SKU00349,Low Sales Performance
A,SKU00003,Beverages,Campa Cola,45392.0,2837,6.49,Consider Removal,SKU00349,Low Sales Performance
A,SKU00011,Beverages,Thums Up,45024.0,3216,6.89,Consider Removal,SKU00349,Low Sales Performance
A,SKU00012,Beverages,Thums Up,42315.0,2821,6.5,Consider Removal,SKU00349,Low Sales Performance
A,SKU00013,Beverages,Thums Up,45040.0,2815,6.61,Consider Removal,SKU00349,Low Sales Performance
A,SKU00021,Beverages,Coca-Cola,38304.0,2736,6.39,Consider Removal,SKU00349,Low Sales Performance
A,SKU00022,Beverages,Coca-Cola,42045.0,2803,6.43,Consider Removal,SKU00349,Low Sales Performance
A,SKU00031,Beverages,Pepsi,40502.0,2893,6.52,Consider Removal,SKU00349,Low Sales Performance
A,SKU00032,Beverages,Pepsi,41475.0,2765,6.24,Consider Removal,SKU00349,Low Sales Performance
A,SKU00041,Beverages,RC Cola,38205.0,2547,6.35,Consider Removal,SKU00349,Low Sales Performance
A,SKU00046,Beverages,Leomon,36053.6,2651,6.39,Consider Removal,SKU00349,Low Sales Performance
A,SKU00047,Beverages,Leomon,44065.5,3039,6.64,Consider Removal,SKU00349,Low Sales Performance
A,SKU00048,Beverages,Leomon,42904.4,2786,6.43,Consider Removal,SKU00349,Low Sales Performance
A,SKU00056,Beverages,Limca,37468.0,2755,6.58,Consider Removal,SKU00349,Low Sales Performance
A,SKU00057,Beverages,Limca,39715.5,2739,6.46,Consider Removal,SKU00349,Low Sales Performance
A,SKU00058,Beverages,Limca,42196.0,2740,6.49,Consider Removal,SKU00349,Low Sales Performance
A,SKU00066,Beverages,Sprite,41602.4,3059,6.36,Consider Removal,SKU00349,Low Sales Performance
A,SKU00067,Beverages,Sprite,39150.0,2700,6.08,Consider Removal,SKU00349,Low Sales Performance
A,SKU00068,Beverages,Sprite,44074.8,2862,6.43,Consider Removal,SKU00349,Low Sales Performance
A,SKU00076,Beverages,7UP,41316.8,3038,6.8,Consider Removal,SKU00349,Low Sales Performance
A,SKU00077,Beverages,7UP,44196.0,3048,6.61,Consider Removal,SKU00349,Low Sales Performance
A,SKU00078,Beverages,7UP,40686.8,2642,6.38,Consider Removal,SKU00349,Low Sales Performance
A,SKU00086,Beverages,Mountain Dew,37743.5,2603,6.41,Consider Removal,SKU00349,Low Sales Performance
A,SKU00092,Beverages,Bovonto,42640.0,2600,6.42,Consider Removal,SKU00349,Low Sales Performance
A,SKU00102,Beverages,Slice,45200.0,2825,6.59,Consider Removal,SKU00349,Low Sales Performance
A,SKU00103,Beverages,Slice,44903.2,2738,6.49,Consider Removal,SKU00349,Low Sales Performance
A,SKU00114,Beverages,Maaza,43280.0,2705,6.15,Consider Removal,SKU00349,Low Sales Performance
A,SKU00139,Beverages,Mirinda,42836.8,2612,6.75,Consider Removal,SKU00349,Low Sales Performance
A,SKU00254,Beverages,Bisleri,29670.0,2967,6.48,Consider Removal,SKU00349,Low Sales Performance
A,SKU00255,Beverages,Bisleri,28910.0,2891,6.62,Consider Removal,SKU00349,Low Sales Performance
A,SKU00262,Beverages,Kinley,25580.0,2558,6.32,Consider Removal,SKU00349,Low Sales Performance
A,SKU00263,Beverages,Kinley,28810.0,2881,6.7,Consider Removal,SKU00349,Low Sales Performance
A,SKU00270,Beverages,Aquafina,28860.0,2886,6.43,Consider Removal,SKU00349,Low Sales Performance
A,SKU00274,Beverages,Himalayan,26370.0,2637,6.53,Consider Removal,SKU00349,Low Sales Performance
A,SKU00277,Beverages,Rail Neer,27470.0,2747,6.33,Consider Removal,SKU00349,Low Sales Performance
B,SKU00001,Beverages,Campa Cola,49840.0,3560,6.65,Consider Removal,SKU00349,Low Sales Performance
