,S0001,S0002,S0003,S0004,S0005,S0006,S0007,S0008,S0009,S0010,S0011,S0012,S0013,S0014,S0015,S0016,S0017,S0018,S0019,S0020,S0021,S0022,S0023,S0024,S0025,S0026,S0027,S0028,S0029,S0030,S0031,S0032,S0033,S0034,S0035,S0036,S0037,S0038,S0039,S0040,S0041,S0042,S0043,S0044,S0045,S0046,S0047,S0048,S0049,S0050,S0051,S0052,S0053,S0054,S0055,S0056,S0057,S0058,S0059,S0060,S0061,S0062,S0063,S0064,S0065,S0066,S0067,S0068,S0069,S0070,S0071,S0072,S0073,S0074,S0075,S0076,S0077,S0078,S0079,S0080,S0081,S0082,S0083,S0084,S0085,S0086,S0087,S0088,S0089,S0090,S0091,S0092,S0093,S0094,S0095,S0096,S0097,S0098,S0099,S0100,S0101,S0102,S0103,S0104,S0105,S0106,S0107,S0108,S0109,S0110,S0111,S0112,S0113,S0114,S0115,S0116,S0117,S0118,S0119,S0120
S0001,1.0000000000000002,0.32070730265888714,0.4907149974305741,0.35988172559809783,-0.40326543368774226,-0.21918004323994808,0.6738335864863921,-0.36677286378304813,0.01166239320002672,0.4868818918169536,-0.1367322018728204,0.02428497701371778,-0.1623929368021268,0.6701629190898774,-0.679345400653777,-0.6230922590310751,-0.15926905932682195,-0.178225547029294,0.16021723834926926,0.7115212080193988,0.5999796261601031,0.07121128257756541,0.004545827364629235,-0.4670332919013465,-0.5137686507490914,-0.662174168987879,-0.25959840599339723,-0.3129267855082826,0.07456973893065605,-0.6595953544148152,-0.1219115880376644,-0.2871327529295843,0.0031261344700006712,-0.31944938508942383,0.6517476172257863,-0.32529189747465964,-0.1397307635698888,-0.12630813225690707,0.1484545312544435,0.21104868956833256,-0.23289340534682462,0.16029611931563642,0.09041185540822906,0.3963810425249356,-0.3907522013679069,0.26086100288483255,0.13271965518186196,0.0755932315372398,-0.18855444866784646,-0.27076688108293107,-0.13441389987358932,-0.15246698022795455,-0.17555538110434973,-0.10580856137059808,-0.05404368489825597,-0.2543613136133867,-0.0289884768692796,0.15051316457169311,0.05965496134598434,0.33322657362917146,-0.013394791919904734,0.43370376358742296,-0.3578241156673467,-0.12240542618084867,0.04366450729349638,-0.6703118046936217,0.24696474091068304,0.24052769374402427,0.16422452563373569,0.7819099197309942,0.4203704133901959,-0.5177657585871405,0.5667461769639883,0.3480258447789417,0.16509559149790445,-0.09057376881264241,-0.2795289722535051,0.8829293220882366,-0.46064846813604476,0.18474893214636104,-0.13576202358009112,0.14246996070147414,-0.10448471394510768,0.25727367239707954,-0.4250981545332312,0.16829758615108545,-0.34340036651505196,-0.12163885872287962,-0.23243996770533473,0.47594301200564276,-0.6893971159333784,-0.1911907825196441,0.24898291873017764,0.1770725449363687,0.10983946100786879,-0.6541686025867779,-0.2931646951414145,-0.04833749543286169,-0.26406274148539205,-0.26251222023333354,-0.24742818512619946,-0.1165893682729018,-0.44033688135205734,0.057204264223612813,0.1948486095527563,0.6469440559089024,0.9006324710162016,0.4380044551346817,0.29055105557115307,0.0028109823180950382,0.10181079405267851,0.7157911500732977,0.5274291024889193,-0.056991838138737025,0.1406824373266009,0.0668573916022435,-0.5162979704034943,0.37671799594933236,-0.252281579535369,-0.21253884070426785
S0002,0.32070730265888714,0.9999999999999997,0.2915996028765988,0.579771676388036,0.0817829924900981,-0.33171235907533825,0.6296049688479345,-0.3730730273562938,-0.03867972567722681,0.2574050586337446,0.3659841816650754,-0.33725349683546646,0.25036293296747675,0.7205752726390479,-0.2298078894021592,-0.42313717531071576,-0.01963517808837496,0.6175836446079843,0.49180236292325274,0.19538139416828465,0.635898373272361,-0.408433062934256,-0.3172865589772348,-0.7718516541492203,0.21305704478659507,-0.2913789958103545,0.2013789182264092,0.5480530217023979,0.3500539629396702,0.3529788026867115,0.021856569426463905,0.1732825621506213,-0.5683696018890725,-0.4973382273864846,0.0933417817690772,-0.18145428234429373,0.02158827670043231,-0.4306983769314057,-0.1226347298542315,0.2198874199428347,-0.56477464464879,-0.32734931425942276,-0.10735257973363707,-0.02859129631138566,-0.3607262021272084,-0.47253794580746905,-0.32331135838065933,0.44053688632747,-0.4321073833748404,-0.4738546530372472,0.09814388357164242,0.4144379971141768,0.49258359254448536,-0.23499341260858653,0.40260261061700264,-0.09387328618104841,-0.13502759112730717,-0.3595147327282775,0.6327353651413493,0.6868830865123461,-0.08468563449344435,-0.2444438922157719,0.18800045390069794,0.19140725402020697,-0.0016551510171199922,-0.21542075109998826,0.3047081434541392,-0.09685722714239192,-0.1138111200167277,0.6843374061262123,0.09689682323560134,-0.025067143426005953,-0.2959644433558207,-0.03905274401108742,0.7507966073550407,-0.5984196217115589,-0.674857377335311,0.353333740504016,-0.4588508827159657,-0.18747646703027682,0.638606717961159,-0.11182373150479587,0.1000633167793843,-0.16079031616987724,-0.22900712669307968,0.16925624503561976,-0.48964227716756314,0.25879000969067917,0.03635676937623077,0.4416798511025141,-0.4685193301306233,0.037902287695468675,0.5512868515346488,-0.23487459903422686,-0.43395055071920685,-0.2927076602575002,-0.6089401122063113,0.025038148569085664,0.0004634542266064007,-0.46225133841431737,0.12321643522717404,-0.48232650468599114,0.22898007265935116,0.4666561038589936,0.38498225358003263,0.37105775595185136,0.4370082760094038,0.4735796850029055,-0.10926826819568831,-0.005024029485068073,-0.17071481383713938,0.16487371129994619,-0.16381149890856306,-0.08682315051400998,0.08611062482426682,0.19348615163861688,-0.5181607546465171,-0.20622938111725067,0.06775767607716439,-0.2988580624802169
S0003,0.4907149974305741,0.2915996028765988,1.0000000000000002,-0.06653561478754845,0.019311953681108662,-0.272092893351819,0.5991850404771596,-0.5114456611695756,0.14380050732098346,-0.11412920978788182,0.4229973122181925,0.12582532831663124,-0.3084894344084889,0.41255581721819296,-0.47322718868923275,-0.09278728758099783,0.5054216468170992,-0.1241470794104619,0.4861997592093522,0.3584365611416344,0.396012659623776,-0.09888149682812174,0.46792151290196565,-0.7507870354921522,-0.06605312364983328,-0.6184519839366255,-0.5582621086416109,-0.3647608464530262,-0.17196908383374718,0.05610645794838287,-0.6844526410675997,0.11769280755032284,-0.04679865000150381,-0.3094263022624711,0.3097417787108798,-0.19850925660008195,0.01816421792230106,-0.23108276191496602,0.10000597696688181,-0.08483316458129915,0.04852755374592464,-0.226528484358049,-0.16306896243653277,0.2149194524503459,-0.31251964061750415,0.29806879437250877,-0.4711316748440465,-0.4770766266919054,0.2765209787566709,-0.3456226902805387,0.32707568060510855,-0.4206909080074697,-0.6144359507565843,-0.2560678281706015,0.1887052487894918,-0.3816689783665334,-0.04215796911796418,0.30178494705897835,0.5895644932723334,0.14192836305729734,-0.13293041215115303,0.19127633769010532,-0.016094410791088806,0.35733440797142063,0.4667769910108062,-0.3763946179791123,0.4886537550830778,0.7902781402657446,0.4154665054330325,0.32543591665737304,0.18654272283219522,-0.08278695896379579,0.24726395550078684,-0.15570114376720026,0.47981800708018096,-0.11121703941402214,-0.7019060922850727,0.4177376086513572,0.1892497034915357,0.21427610933386643,0.2743364066303857,0.3929001981933646,-0.34172715697166184,0.1630559780340032,-0.46177363197150845,-0.051303840914512074,-0.7878540494200846,0.29533956469433975,-0.15319887643982186,0.8446018977108486,0.03669626909145468,0.4526680461128394,-0.15796857456427346,0.1969309734668835,-0.06200895917071043,-0.2932126714055287,-0.05454849243668851,-0.28356183825618103,-0.06443238777759112,-0.1321869887817806,0.35907401944547057,-0.43879853311767436,-0.3889814057894201,0.3819904722611422,-0.17302670633263081,0.1230443465305932,0.4455094586873946,0.04303788219545709,-0.02667286857435245,-0.5367376085346501,0.7240203475269387,0.24235490643509797,0.3915323786163332,-0.47782810238126605,0.10321086544081963,0.2130604789597398,-0.7101840463948422,-0.3861683291750314,0.49074903810457504,-0.21710962821384552
S0004,0.35988172559809783,0.579771676388036,-0.06653561478754845,0.9999999999999998,0.41351412751823213,-0.06726166925521744,0.12055669456896786,-0.011515017750111824,-0.47555019449562647,0.3962962972687232,0.04477190444076936,-0.34979207950223085,0.7412476613153592,0.7327536284740173,0.162094111904481,-0.7299483319210978,-0.2019335820651848,0.26510182924253123,-0.07831843749488782,0.285422390993893,0.2994686072275535,-0.4848675327573145,0.10193051468007325,-0.4013884894006882,-0.39919097534187015,-0.47222032078274523,0.15178465429052235,0.6453451755107387,-0.24853154422668283,-0.009652611469286487,0.17971600917658265,0.33745760569056893,-0.5142595011928208,-0.37485022568552756,-0.08028198284914169,-0.0026687901336594744,0.029311385141819263,-0.6798885770170161,-0.019537117720790084,0.3276483555013384,-0.3621814452204979,0.35492799822391685,0.5306994500737927,0.21879325679509862,-0.24068157896715908,-0.030029357607305903,0.3975912141270715,0.4330998864463967,-0.5251212439466625,-0.17865627044925422,0.13332237058020713,0.613756337385137,0.6653013962816099,0.5058299874332575,0.19284273989878578,-0.27610809622760457,0.30910666004642484,-0.12882595028710275,0.2221247630690814,0.5328236163179769,0.21493009334219093,0.1501219328181234,-0.2596724255345609,0.19878796391354528,0.009610135148526459,0.012355629825581565,-0.1474014195129567,-0.06551942577761033,0.18637498225057827,0.7693636223503737,0.7049689455480155,-0.28652994470034837,-0.19029226670735486,-0.12717716823635625,0.38935258001038187,-0.7510977327496726,-0.1377035167112505,0.24360107965396863,-0.6921071008881478,0.30606676560671964,0.1827581354368002,-0.19049900886875346,0.10645206962774269,-0.30298227049717835,-0.3960089515451207,0.10922418470239673,-0.29166839674980793,-0.3789140242302648,-0.16882466802823606,-0.15674636830946553,-0.533767712156923,-0.500960962630132,0.5705722232697266,-0.17984417719801332,-0.4785626785240134,-0.5480598343432698,-0.6785938364685415,0.6363006555645074,-0.6639845538467476,-0.07347402412649409,-0.44122092722942646,-0.05247491039445551,0.3458482415717541,-0.03235837789867706,0.89449586624356,0.18288945432239734,0.15814584458644426,0.0595530142840662,-0.1069281531085394,0.13427643420256685,-0.3649140841343011,0.24009285773486266,-0.4269955961411663,0.07043568590699294,-0.2605683937231101,-0.34749422157904586,-0.10654784135574837,0.2745417649027899,0.0735982195347379,-0.7027013908755869
S0005,-0.40326543368774226,0.0817829924900981,0.019311953681108662,0.41351412751823213,1.0000000000000002,0.09879877797106111,-0.2489729265076203,0.40475524102466914,-0.43047328633920234,-0.3506385569899787,0.21754044246568294,-0.016556290842237323,0.518119658406428,0.1880536348577164,0.7956069137493481,-0.013588210685551712,0.4091311552959325,-0.06299495423916897,-0.13276431367103378,-0.39411131963714224,-0.19764110922995082,-0.43168233819198604,0.6377199748334501,-0.21538378949600334,-0.12241270363832173,-0.2853144272982359,-0.24539087087179606,0.4914336916494841,-0.6108641498038129,0.550592493385218,-0.2224463339342962,0.6864825930036325,-0.33061444440086046,-0.1057060851219567,-0.5149792246201628,0.5617209494006271,0.3989345537880842,-0.6214619800411282,-0.2758852347500025,-0.03618704026591605,0.0232947046353596,0.4659433868388547,0.3124327559247182,-0.1122597455035095,0.0803111182897139,0.34750648157299596,0.1256678115105146,-0.1160272915582079,0.18184274296743538,0.17057879651701566,0.38993128459408877,0.4964115606533879,0.19337876838284473,0.5708122681490493,0.32245608512641416,-0.4768869603583618,0.4103813215315189,0.0073293185950673205,0.17918625615799968,-0.08059947949008718,0.1948434867903423,-0.039122517403509346,0.10433121661681329,0.5501016897553985,0.3006978163415322,0.7809890479464456,-0.36100456990361435,0.3953451347388478,0.37092810499167905,-0.07845272752012969,0.5766008180983812,0.276753221818623,-0.34148541779165986,-0.5846012649801935,0.07965249929026884,-0.528232364258596,-0.14071754660371139,-0.6282533644424659,0.09558481625516596,0.459588828627048,0.17526484463725323,-0.026086961274679688,0.20241074051566885,-0.28290113145140966,-0.45752828397901846,-0.05614972265119362,-0.4648554076807211,-0.31000460660720947,0.03196852788957268,-0.1300052911628285,0.3908846488402833,-0.02947308623099611,0.23690808957724388,-0.07894773726130772,-0.43588621338715283,-0.03107829618284893,-0.11846352190208133,0.5163886132055189,-0.5411443806735311,0.1171916712211918,-0.0011953943977999555,-0.12897465849567322,0.4446974151689791,-0.24186135411071363,0.41842874292711013,-0.6641912139338706,-0.5798038993571528,-0.7017904284991615,-0.4755476130587903,-0.33357953105130217,0.09347828746177847,-0.3891007353662277,-0.7665677859201766,-0.11950310020877317,-0.6444149488640785,-0.4347103616030353,0.3307468878718489,-0.25959704198466665,0.669786770722278,-0.6783125976727619
S0006,-0.21918004323994808,-0.33171235907533825,-0.272092893351819,-0.06726166925521744,0.09879877797106111,0.9999999999999998,-0.22884336372180983,0.12709276880566203,0.40439782895910986,-0.3219749957409748,-0.10858954295122021,-0.16895028373432322,-0.2231173120631465,0.021411291701603115,0.00969244897595858,0.4896847966520417,-0.32156080034761547,-0.49677692889432234,-0.8596448357462492,-0.5813143267149057,-0.21272489718998752,0.7118311679926638,-0.03585762006077832,0.5029610913939583,-0.504451768594424,0.3048854387697792,0.5143045329675376,-0.19653155230634517,-0.3907008739896949,-0.20915983503925833,0.5365572961885644,-0.0012284914480908524,0.31974545008269895,-0.3170657741209173,-0.509575316401439,-0.20419089424043746,0.38582848522645713,-0.4336082881544285,-0.21699665549725997,0.752689842531323,0.18364073518817772,0.11866552256474798,-0.15112218982718875,0.21635482294255048,0.9545417845297345,0.1404584885569586,0.1641036364480473,-0.16818840342772978,0.3868989161890155,0.9032650997812689,0.2704175397489188,-0.1881684072240452,-0.08543074290109384,-0.056559869901511635,0.2650108325623218,-0.22030055400325899,-0.4628607716699958,0.33201819155001705,-0.5349140330338749,-0.216501356320945,-0.5810782223305855,-0.4838634458862292,-0.2606261330702761,-0.45983129624317637,0.18726165616477078,0.16411590603747142,-0.10523785797796886,-0.24512171046209613,0.20062269554325327,-0.4064744788085375,0.12046903187822741,0.5116871822216338,-0.19262976928616388,0.5165139262366992,-0.36511972794020114,0.22992593678178255,0.6201643948000207,-0.44196264916178996,-0.15579856742994624,0.24274327061154055,-0.008510312763498786,-0.8068021927551833,-0.2613053724358336,0.4313483189003962,0.49374307897121283,0.606169440605065,0.490328850986133,-0.6107608577782587,0.07735054467911957,-0.2145713480454103,-0.011731781903214394,-0.5616401989791127,-0.005986135744748246,-0.7269756500992792,0.34714482642532607,0.6945733025761478,0.5996023361305435,-0.22747578476362706,-0.4590712281028195,-0.3090117042505925,-0.6025902972085578,-0.3490521738249726,-0.32192695674072025,-0.749946259786784,0.03367192618051058,-0.6620404087036058,-0.31256558044159255,-0.5979044606346166,0.7373670743083603,0.4540844632860451,-0.33149899114057935,-0.7169577883405114,-0.47715998597923714,0.8310091716553527,-0.39594335769123723,0.4838013142647124,0.09537663403380256,-0.15669416491742993,0.1236366331839485,0.32768532246747745
S0007,0.6738335864863921,0.6296049688479345,0.5991850404771596,0.12055669456896786,-0.2489729265076203,-0.22884336372180983,1.0000000000000002,-0.45045918192121537,0.35114876470854123,0.006076839616003361,-0.0330770207469766,-0.14183469940232848,-0.47546571388021197,0.6551120342389624,-0.5612498982987049,-0.21266979616777726,0.20447742575521485,-0.019930891975354772,0.41109792127113104,0.33957475043419943,0.6141516180160116,0.16751300346521397,-0.22480681292116797,-0.6529882814995798,-0.04093739409326483,-0.5074154261955196,-0.2203965393511022,-0.25046970960734083,0.2906959381175517,-0.19727884798238238,-0.09426430482111384,-0.03816502177647805,-0.19012222590134584,-0.3219228395472523,0.3775097306525403,-0.11910771877935682,0.26746298185718137,-0.19112148074083107,-0.07959318985639187,0.190960335899719,-0.4329646458093882,-0.13963424864957047,-0.2979663751701319,0.1540837144313925,-0.30605537132415556,0.04081136436370943,-0.30067562095305334,0.23558726365388435,-0.015292884351265443,-0.21359001889963944,-0.13698684552184687,-0.08585787409678812,-0.21882880238910804,-0.618580412647508,0.4442355451815397,-0.30093846980345096,-0.23951129566519994,-0.14889267985062496,0.20924071227604926,0.4605153103666301,-0.369190547218348,0.049014428331099445,0.26972294674693864,-0.13889014339472336,-0.06331605825558928,-0.34827959513123063,0.3266581908419759,0.18837604546900277,0.08388441573039937,0.5142495392150583,0.1486052197032293,-0.07303312153764795,0.42631508770513626,0.39443318945948097,0.2636989473166612,-0.06735019020702977,-0.6413402804664597,0.529341452347896,-0.3379335085853,0.05674395109769063,0.32275669459810485,0.04300938114181409,0.017456677476165815,0.31007763378137077,-0.3394086953249641,0.3191228174574671,-0.5496100759158007,0.06446620939229172,0.2391329803755615,0.7699567554399654,-0.5232503803230955,0.24542474753290325,0.5320968487788224,0.04954157697239658,0.07097990612633712,-0.26232292681482666,-0.18486044857711284,-0.49962603448010506,0.0521609119780791,-0.7402146134027499,0.04657239688574397,-0.4766312632043385,-0.22223705725434484,0.18242319747265573,-0.19289535367699392,0.38235514740151694,0.8140995239362468,0.34590276908124273,0.14652375785919522,-0.2032112938003666,0.036015183391120864,0.36337328310209216,0.28026322120306524,-0.05780081562423564,-0.05965668221917351,0.46669500664733754,-0.5954566320344667,-0.23769793980938372,-0.13173624270667647,-0.07151500938292177
S0008,-0.36677286378304813,-0.3730730273562938,-0.5114456611695756,-0.011515017750111824,0.40475524102466914,0.12709276880566203,-0.45045918192121537,1.0000000000000002,-0.3619332288927314,0.13943045334710805,-0.10934729988622921,0.634743082858759,0.19127232802433536,-0.2112538200366446,0.6689192347213286,0.11131259776852423,-0.26674294060964787,-0.2730532575518027,-0.29299886868640257,-0.5828738529787417,0.0029128922524780418,-0.05710335086507482,0.16908036316064898,0.3335612248448169,-0.21415782299745342,0.19119853959902114,-0.08208415970847852,0.28185942201911507,0.030018683247243015,0.13255018870654997,0.02219715505822891,-0.2560539798554169,0.34759443163086645,-0.045907077087190024,0.10187402328007186,0.6472232913357867,-0.04973186090818609,0.1324784062642966,-0.6290712628268189,-0.07051504654442457,-0.06459357689538675,0.662428084863188,-0.16095631755282008,-0.5447225656889592,0.25299352073947373,0.3076488624339447,0.17660418392835997,-0.18791130194379652,0.25542892959224855,0.3747978149471277,-0.14626190847726864,0.561755791452801,0.20994620756174703,0.5631614149433302,-0.4188845779689118,-0.21898381211486845,0.10822645877928942,-0.12004032541694949,-0.40182386942996445,-0.7261360012570749,0.5026493430329739,-0.1607913145378044,-0.25661707432852915,0.30337805510687477,0.12038087645242788,0.6497811617662349,-0.6324242043811206,0.009329731577231413,-0.39020277816354476,-0.3396706950882358,0.12782696941194974,0.3188101462699606,-0.1769188030220571,-0.3169796147365054,-0.5308737536950161,0.09638832114709944,0.4160695807973661,-0.5474855699301473,0.3101816664028499,-0.16591071180423053,-0.5655724654767232,-0.07373926730495545,0.750977584153144,0.1604533955712285,-0.27251913448098053,0.11321343557342334,0.18171090341864707,-0.15341965505380736,-0.29819589036369143,-0.29317969431019075,0.3548917161699219,-0.3840754482926907,0.008768042953643827,-0.00844466180138035,0.1384200564397471,0.0830755380728334,0.35647955308005,0.5205402909722396,-0.09651865778803759,0.23479319919085806,0.10263830855857348,0.05849822736718904,-0.02516442819288071,-0.5820256001060703,0.19122523056156296,-0.37655354076386427,-0.44480009917440083,-0.33536155913638577,-0.17954395930066377,0.23840230576248136,0.003959245184526277,-0.2336959222987182,-0.4180316542557613,0.2752470018651987,-0.31347327156426297,-0.5324178676577911,0.9216279150553808,0.48280191399519967,0.025756362576870074,-0.0717220959938964
S0009,0.01166239320002672,-0.03867972567722681,0.14380050732098346,-0.47555019449562647,-0.43047328633920234,0.40439782895910986,0.35114876470854123,-0.3619332288927314,1.0,-0.5031014739768949,-0.2986502540363434,-0.2723491347808948,-0.7160663230043839,-0.14814287060940912,-0.4358834734103493,0.7038774456520446,0.11362237360439235,-0.3652411109185664,0.00630496592184372,-0.14552431960735338,-0.0065580786869431995,0.7709702418056432,-0.41819937048792133,0.22734973127902203,-0.001900207278255038,0.4357062894740352,0.3497071026300323,-0.4801523478782632,0.13915576269435162,-0.2100005112399883,0.45076032498319335,-0.1923745444419145,0.49841134308075286,-0.1119997636160556,-0.10368835187657754,-0.11448087831397888,0.0847748582585841,0.002979366612411282,-0.24433438251152517,0.48997324864395236,-0.3415569172622981,-0.3712897699751967,-0.5359379155525273,-0.173654659892999,0.4221977992231867,-0.2669507211875367,-0.5063172257601123,-0.010779963146185428,0.025390861541881242,0.4566098474793682,-0.3741250942120331,-0.3443799863924905,-0.4428958688152885,-0.7500857716995302,0.20066307270332756,-0.2376290407233882,-0.33803332862564783,-0.2872375233631596,-0.2020533551664861,-0.03825875406932956,-0.5298267596888289,-0.24233694044640813,0.2033659641716135,-0.385531243095035,-0.34180044210772825,-0.2159533841254537,-0.04383316416285531,-0.13889857947041118,-0.1874521262444034,-0.23843272847685038,-0.3834567959283811,0.5690194119793964,0.19101412951603589,0.7153812900570548,-0.23816507388556005,0.7131168362232557,0.19952567615466896,-0.033427215911443924,-0.18612112699086766,-0.19307736331530911,-0.0015828169812253687,-0.1783360350733871,-0.11652342993767884,0.7162943106490821,0.3889345785926173,0.662461233325904,0.20843556514904188,-0.014222423511482729,0.23857058458808036,0.259813743902694,-0.28750339488897625,0.22690258536373994,0.0682663533846894,-0.1482009414649396,0.7510956591046375,0.64608698216792,0.5974246488998325,-0.829797418688648,0.14982184687453196,-0.673490374955147,-0.0022720470207287075,-0.4311788225672977,-0.3483155160289858,-0.05661882258898771,-0.641429625854345,-0.07427751353832089,0.10275129012563124,-0.02451224350960123,0.633873577991943,0.34655713925344467,-0.14682230925506565,-0.20366010538625157,0.06291323083360593,0.44365553446257405,-0.16206410369437155,0.8832391580255068,-0.3720005871945774,-0.5102312551121332,-0.3286703016846801,0.7468231620705076
S0010,0.4868818918169536,0.2574050586337446,-0.11412920978788182,0.3962962972687232,-0.3506385569899787,-0.3219749957409748,0.006076839616003361,0.13943045334710805,-0.5031014739768949,0.9999999999999999,0.2570888587893075,0.37686805438855064,0.3682022980679215,0.3345956540871791,-0.3294274805667096,-0.7028033229333149,-0.7351740144442138,0.3831408099703769,0.10677555140844076,0.3326026601787179,0.616399941429437,-0.36533202067434195,-0.21133146328562527,-0.22832028967178047,-0.1781310512848838,-0.1569898236603761,0.1297214484194145,0.31683288820460703,0.47227350623882575,-0.2093200700807563,-0.08987847449541601,-0.6029648755083735,-0.01948873909551702,-0.3552876620344027,0.6830112706224176,-0.37005838569930416,-0.6137888604194797,0.20656405774564096,0.009061148793793689,0.0017064630897695675,-0.10107615387638239,0.033654492071812696,-0.002203389636101132,0.012371504367406251,-0.3092719764179441,-0.17441918813050572,0.15471684102684558,0.04162682527111195,-0.3136569061602558,-0.4571963743545449,0.013711210056084463,0.24096175718641646,0.4600895473552622,0.34170142339745296,-0.5692338543052362,0.2760644904918984,-0.16721197778591096,0.09950993933869506,0.1786601183504702,0.03960273177477882,0.45540537858947105,0.0052499388814911474,-0.6302204560641259,0.1181023429076894,0.21471335709874706,-0.5277448313430183,0.21184185637742245,-0.1855677064998973,-0.3895539284126958,0.5725147419331754,0.006512787579826418,-0.4860350671100348,-0.14961710322987534,-0.14028956299554848,0.3111723480179025,-0.30327787693899816,-0.028619787661929092,0.618804581657022,-0.13075784453877284,-0.41374070323160655,-0.2011566269779686,-0.010979875697126912,0.19686863478172048,-0.11832815413519245,-0.14166976907339313,-0.13220791802292925,0.11322284753056121,0.2760969210847501,-0.6307663900284305,0.03971720060994442,-0.3159121920122908,-0.5309738526049769,-0.1161945039693649,-0.07587167394474294,-0.2114933415674469,-0.5701995645691191,-0.3912820752922592,0.51717119137937,0.07355878141206941,0.32734616309122594,0.009892279135556301,0.07253554668035797,-0.27260622136329693,0.15277528102565827,0.5777265003213957,0.6557816787255295,0.4584451262029391,0.6849042253667696,0.06980319004130475,0.3453073449117571,0.033473995063432786,0.4651289021620394,0.3411826705586,0.0019208228872217832,0.6098556926975117,-0.38056390731147527,0.013024430265885229,0.8235311550099145,-0.2158382458173138,-0.11172421826009978
